Scheme Name,Address,Tags,Description,1-Bedroom,2-Bedroom,3-Bedroom,Studio,Private Room,Station Info,City
Sandwell Court,"Sandwell Road, Birmingham, Birmingham, B21 8NL","['CCTV', 'Controlled access', 'Communal garden', 'Smoke alarms', 'Oven']",Sandwell Court offers cosy homes that are just within walking distance from an abundance of amenities and transport links.,,,,420.0,,"['The Hawthorns (THW) | 0.7 mi', 'Smethwick Rolfe Street | 1.2 mi']",Birmingham
Cassowary Road,"Handsworth Wood, Birmingham, Birmingham, B20 1NE","['Onsite maintenance', 'Parking', 'CCTV', 'Controlled access', 'Communal garden']","Located in Birmingham, Cassowary Road is a Build to Rent that promises safety, support and independence for tenants.",,625.0,,,,"['Hamstead | 0.9 mi', 'Perry Barr | 1.3 mi']",Birmingham
Marina House,"1 Maria Place, Birmingham, Birmingham, B16 8WQ","['Furnished', 'Parking', 'Lifts', 'CCTV', 'Controlled access']",Marina House offers contemporary apartments that are within walking distance from different amenities and places.,2275.0,2730.0,,,,"['Five Ways | 1.2 mi', 'Jewellery Quarter | 1.3 mi']",Birmingham
Gilders Yard,"14 Great Hampton St, Birmingham, Birmingham, B18 6ER","['Concierge', 'Onsite management', 'Parking', 'Parcel collection & storage', 'Bike storage']","Located in Birmingham, Gilders Yard is a new Build to Rent that promotes a comfortable lifestyle with an extensive range of modern amenities.",910.0,1210.0,,,,"['Jewellery Quarter | 0.3 mi', 'Birmingham Snow Hill | 0.6 mi']",Birmingham
The Mercian,"212 Broad Street, Birmingham, Birmingham, B15 1AY","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']","Living in such a high-quality, well-located development, residents of The Mercian will have access to a host of first-class amenities, various points of interest and a picturesque surrounding landscape.",1325.0,1650.0,,1175.0,,"['Five Ways | 0.3 mi', 'Birmingham New Street | 0.6 mi']",Birmingham
Northumbria House,"Regent Farm Road, Newcastle, Newcastle upon Tyne, NE3 3AZ","['Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']",Northumbria House offers well-furnished apartments with an abundance of amenities to create a unique living experience at a new Built To Rent in North East Newcastle.,600.0,,,,,"['Regent Centre | 0.3 mi', 'Wansbeck Road | 0.3 mi']",Newcastle
Strawberry Place,"Newcastle upon Tyne, Newcastle, Newcastle upon Tyne, NE1 4SF","['Bike storage', 'Lifts', 'CCTV', 'Controlled access', 'Gym']",Strawberry Place Road offers tenants a new way to experience high-class apartments and some exclusive perks around the city.,1075.0,,,,,"['St James | 0.0 mi', 'Monument | 0.3 mi', 'Newcastle | 0.4 mi']",Newcastle
Livinc Newcastle,"4 Forth St, Newcastle, Newcastle upon Tyne, NE1 3NZ","['Furnished', 'Concierge', 'Onsite management', 'Parcel collection & storage', 'Lifts']",Livinc Newcastle is a beautiful co-living complex in Newcastle with modern amenities and elegant fittings.,,,,1800.0,758.0,"['Central Station | 0.1 mi', 'Newcastle | 0.1 mi', 'Monument | 0.4 mi']",Newcastle
Eldon View,"Regent Farm Road, Gosforth, Newcastle, Newcastle upon Tyne, NE3 3PW","['Furnished', 'Concierge', 'Onsite management', 'Parcel collection & storage', 'Bike storage']","Located in Newcastle upon Tyne, Eldon View is a build-to-rent with great traffic connections, modern amenities and an elegant design.",675.0,900.0,,,,"['Regent Centre | 0.1 mi', 'Wansbeck Road | 0.5 mi']",Newcastle
Hadrian’s Tower,"27 Rutherford Street, Newcastle, Newcastle upon Tyne, NE4 5BJ","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']","Located in an excellent location of Newcastle upon Tyne, Hadrian's Tower offers fully furnished apartments, an abundance of first-class amenities and transport links to create the highest living standard.",1500.0,1750.0,5350.0,1000.0,,"['St James | 0.2 mi', 'Central Station | 0.3 mi', 'Newcastle | 0.3 mi']",Newcastle
Dalston Works,"Martel Place, Hackney, London, E8 2NG","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']","Located on the East of the city, Dalston Lane offers high-standard furnished accommodations with a comprehensive range of amenities for a modern living experience.",1800.0,2200.0,2800.0,,,"['Dalston Junction | 0.2 mi', 'Dalston Kingsland | 0.3 mi', 'Essex Road | 1.2 mi']",London
Aberfeldy New Village,"East India Dock Road, Tower Hamlets, London, E14 0GP","['Furnished', 'Concierge', 'Onsite maintenance', 'Parking', 'Parcel collection & storage']","Located in a central area of East London, Aberfeldy New Village is a selection of studio, one and two-bedroom apartments with high-spec fixtures and fitting.",1330.0,1600.0,,1250.0,,"['East India | 0.3 mi', 'Canning Town | 0.5 mi', 'Bromley-By-Bow Station | 0.8 mi']",London
Buckingham Green,"63 Buckingham Gate, Westminster, London, SW1E 6AS","['Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']","Buckingham Green offers brand new, fully-furnished apartments with an abundance of amenities to create a unique living experience at a new build to rent in South West London.",3878.0,6067.0,7258.0,,,"[""St. James's Park | 0.1 mi"", 'Victoria Station | 0.4 mi']",London
Connect House,"21 Willow Lane, Merton, London, CR4 4NA","['Furnished', 'Bike storage', 'CCTV', 'Common area', 'Smoke alarms']","For tenants in search of a quiet neighbourhood and simple lifestyle, Connect House is a paradise in the suburb of London.",850.0,,,450.0,,"['Mitcham Junction | 0.3 mi', 'Mitcham Eastfields | 1.1 mi']",London
Union Wharf,"Copperas Street, Greenwich, London, SE8 2DA","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']","Union Wharf is a new Build To Rent in South East London that houses 249 pet-friendly apartments in two buildings, suitable for singles, business professionals, couples and students.",1900.0,2400.0,3000.0,,,"['Deptford | 0.3 mi', 'Greenwich | 0.4 mi', 'Cutty Sark | 0.4 mi']",London
CQ London,"712 - 737 Commercial Road, Tower Hamlets, London, E14 7LA","['Furnished', 'Onsite maintenance', 'Onsite management', 'Bike storage', 'Lifts']","Lying in a prime location of East London, CQ London provides tenants with fully-furnished apartments and an abundance of amenities and transport links to create a convenient living experience.",1195.0,1450.0,2295.0,,,"['Limehouse | 0.2 mi', 'Westferry | 0.4 mi', 'Stepney Green | 0.8 mi']",London
Cygnet House,"12-14 Sydenham Road, Croydon, London, CR0 2EE","['Pet friendly', 'Furnished', 'Parking', 'Bike storage', 'Lifts']","At the heart of Croydon, Cygnet House can satisfy all kinds of renters with a special design, an abundance of amenities and a great network of transport links.",900.0,,,950.0,,"['West Croydon | 0.3 mi', 'East Croydon | 0.3 mi']",London
Delta Point,"Wellesley Road, Croydon, London, CR9 2YZ","['Concierge', 'Onsite maintenance', 'Onsite management', 'Parking', 'Parcel collection & storage']","Delta Point is a Build To Rent on Wellesley Road, Croydon offering easy, affordable renting with clean, safe and secure apartments.",1250.0,1500.0,,,,"['West Croydon | 0.1 mi', 'East Croydon | 0.4 mi']",London
Empire House,"168 Clayton Road, Hillingdon, London, UB3 1RY","['Furnished', 'Parking', 'Bike storage', 'Lifts', 'CCTV']","Lying in a prime location of Southall, Empire House is the ideal place for commuters with a unique design, a wide range of amenities & furniture and well-connected transport links.",950.0,1260.0,,825.0,,"['Hayes & Harlington | 0.3 mi', 'West Drayton | 2.0 mi', 'Heathrow Terminals 1, 2, 3 | 2.6 mi']",London
Endeavour House,"1 Lyonsdown Road, Barnet, London, EN5 1HR","['Pet friendly', 'Parking', 'Lifts', 'CCTV', 'Controlled access']","Endeavour House is a Build To Rent at 1 Lyonsdown Road, Enfield with beneficial amenities and elegant furnishings.",1350.0,,,,,"['New Barnet | 0.1 mi', 'High Barnet | 0.8 mi', 'Oakleigh Park | 0.9 mi']",London
Faircharm Dock,"Creekside, Creek Road, Deptford, Lewisham, London, SE8 4SA","['Pet friendly', 'Onsite management', 'Bike storage', 'Lifts', 'Common area']",Faircharm Dock is another new Build To Rent in South East London that offers a diverse collection of apartments and penthouses with private terrace or balcony available for selected units. The rental scheme is pet-friendly.,1325.0,1650.0,2125.0,,,"['Brockley | 0.3 mi', 'St Johns | 0.5 mi', 'Deptford Bridge | 0.6 mi']",London
Dressage Court,"54 Three Colts Lane, Bethnal Green, Tower Hamlets, London, E2 6GN","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']","Located in a prime location of East London, Dressage Court is the chosen place for commuters with a special design, an abundance of amenities, furniture and well-connected transport links.",1850.0,2425.0,3200.0,,,"['Bethnal Green | 0.2 mi', 'Cambridge Heath | 0.4 mi', 'Stepney Green | 0.5 mi']",London
Axis House,"242 Bath Road, Hillingdon, London, UB3 5AY","['Lifts', 'CCTV', 'Common area', 'Smoke alarms', 'Video door entry']","Located at 242 Bath Road, Southall, Axis House is an ideal selection of spacious apartments with useful amenities and stylish furnishings.",900.0,1200.0,,800.0,,"['Heathrow Terminals 2 & 3 | 0.7 mi', 'Heathrow Terminals 1, 2, 3 | 0.7 mi', 'Hatton Cross | 1.4 mi']",London
Broad House,"175 - 205 Imperial Drive, Harrow, London, HA2 7JW","['Concierge', 'Onsite maintenance', 'Onsite management', 'Parking', 'Bike storage']","Broad House is a Build To Rent at 175-205 Imperial Drive, Harrow with many beneficial amenities and contemporary fittings.",1200.0,1325.0,,950.0,,"['Rayners Lane | 0.1 mi', 'North Harrow | 0.7 mi']",London
Sovereign Court Twickenham,"15-21 Staines Road, Hounslow, London, TW3 3HR","['Concierge', 'Onsite maintenance', 'Onsite management', 'Parking', 'Bike storage']","Lying in a prime location of Twickenham, Sovereign Court is the ideal place for commuters with a unique design, an abundance of amenities & furniture and well-connected transport links.",,,,725.0,,"['Hounslow Central | 0.2 mi', 'Hounslow | 0.5 mi', 'Hounslow East | 0.6 mi']",London
The Hub,"53-61 College Road, Harrow, London, HA1 1FB","['Pet friendly', 'Onsite maintenance', 'Onsite management', 'Parking', 'Bike storage']","At the heart of Harrow, The Hub is the ideal place for renters with a special design, numerous amenities and an abundance of transport links.",1475.0,1777.0,,,,"['Harrow-on-the-Hill | 0.0 mi', 'West Harrow | 0.7 mi', 'Harrow & Wealdstone | 0.8 mi']",London
Kirkfield House,"118 Station Road, Harrow, London, HA1 2RL","['Furnished', 'Common area', 'Smoke alarms', 'Bed and mattress', 'Built-in wardrobe']","In this high-quality and well-located development, tenants of Kirkfield House will have access to a host of first-class amenities, various points of interest and a picturesque surrounding landscape.",1250.0,1352.0,,850.0,,"['Harrow & Wealdstone | 0.4 mi', 'Harrow-on-the-Hill | 0.5 mi']",London
Kap House,"Elmgrove Road, Harrow, London, HA1 2QG","['Furnished', 'Parking', 'Lifts', 'Smoke alarms', 'Bed and mattress']",Kap House’s top-notch amenities and in-house facilities create a wonderful living experience for all tenants regardless of their lease term.,1250.0,,,1100.0,,"['Harrow & Wealdstone | 0.5 mi', 'Harrow-on-the-Hill | 0.5 mi']",London
Great West Plaza,"Riverbank Way, Hounslow, London, TW8 9RE","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']","Located in a well-connected area of Twickenham, Great West Plaza is a canal-side Build To Rent with stylish apartments and quality amenities.",1250.0,1500.0,,1075.0,,"['Brentford | 0.2 mi', 'Syon Lane | 0.6 mi', 'Boston Manor | 0.8 mi']",London
Kew Bridge Court,"Brentford, Hounslow, London, W4 3AZ","['Pet friendly', 'Concierge', 'Parking', 'Bike storage', 'Smoke alarms']","Located in the area of Kew Bridge and Strand on the Green, Kew Bridge Court is a secure apartment providing a wide selection of one and two-bedroom accommodations.",1517.0,2145.0,2123.0,,,"['Kew Bridge | 0.0 mi', 'Gunnersbury Underground Station | 0.5 mi', 'Gunnersbury | 0.5 mi']",London
Middlesex House,"29 – 45 High Street, Barnet, London, HA8 7UU","['Pet friendly', 'Parking', 'Parcel collection & storage', 'Bike storage', 'Lifts']",Middlesex House House offers tenants a new way to experience high-class apartments and some exclusive perks around the city.,,,,1050.0,,"['Edgware Station | 0.3 mi', 'Edgware Underground Station | 0.3 mi', 'Canons Park Station | 0.7 mi']",London
The Rehearsal Rooms,"3 Victoria Road, Ealing, London, W3 6HU","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parcel collection & storage']",The Rehearsal Rooms offers beautifully designed apartments close to multiple transport links along with a great commercial space and numerous amenities for tenants to enjoy.,1500.0,1750.0,,,,[],London
Myrdale Lodge,"415 Edgware Road, Brent, London, NW2 6FA","['Onsite maintenance', 'Onsite management', 'Lifts', 'CCTV', 'Common area']","With a selection of deluxe apartments, Myrdale Lodge provides tenants with a comfortable living experience supported by high-class amenities.",,1380.0,,,,"['Dudding Hill Junction | 0.8 mi', 'Hendon | 0.8 mi', 'Brent Cross | 1.0 mi']",London
Hanover House,"385 Edgware Road, Brent, London, NW2 6LD","['Concierge', 'Onsite maintenance', 'Onsite management', 'Parking', 'Parcel collection & storage']","Located in London's Cricklewood neighbourhood, Hanover House provides various furnished or unfurnished accommodations in North West London for a friendly living experience.",,,,850.0,,"['Dudding Hill Junction | 0.6 mi', 'Cricklewood | 0.8 mi', 'Brent Cross | 0.9 mi']",London
"The Quarters, Kilburn","24-32 Kilburn High Road, Brent, London, NW6 5UA","['Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']","Located in a desirable area of north-west London, The Quarters Kilburn provides fully furnished and highest-standard accommodations for tenants to enjoy a vibrant living experience.",,,,1300.0,,"['Kilburn High Road | 0.1 mi', 'Kilburn Park | 0.2 mi', 'Maida Vale | 0.5 mi']",London
Northumberland House,"29 Brighton Road, Sutton, London, SM2 5AJ","['Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']","Lying in a prime location of Sutton, Northumberland House is the ideal place for commuters with a unique design, an abundance of amenities & furniture and well-connected transport links.",1250.0,1500.0,,,,"['Sutton | 0.1 mi', 'West Sutton | 0.8 mi']",London
Britannia Point,"125 High Street Colliers Wood, Merton, London, SW19 2FF","['Concierge', 'Onsite management', 'Parcel collection & storage', 'Bike storage', 'Lifts']",Britannia Point offers a peaceful living space with modern flats and utmost security to tenants. The well-connected location also makes travelling to Central London a breeze.,1575.0,2000.0,,,,"['Colliers Wood | 0.1 mi', 'South Wimbledon | 0.6 mi', 'Haydons Road | 0.7 mi']",London
707 High Road,"Kingsway, Barnet, London, N12 0BT","['Onsite maintenance', 'Onsite management', 'Parking', 'Bike storage', 'Lifts']","Situated in a prime location of North London, 707 High Road attracts tenants with modern flats, high-end amenities and many other unrivalled perks.",1600.0,,,1170.0,,"['Woodside Park | 0.6 mi', 'West Finchley Station | 0.6 mi']",London
"The Quarters, Swiss Cottage","120 Finchley Road, Brent, London, NW3 5JB","['Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']","Located in a prized area of North West London, The Quarters Swiss Cottage offers furnished flats with a comprehensive range of luxurious in-house amenities to create an extra comfortable living experience.",,,,1700.0,,"['Swiss Cottage Station | 0.1 mi', 'South Hampstead | 0.2 mi', 'Finchley Road Station | 0.3 mi']",London
Merchant Square,"4B Merchant Square, Westminster, London, W2 1AN","['Concierge', 'Onsite maintenance', 'Onsite management', 'Parking', 'Parcel collection & storage']",Merchant Square offers furnished and unfurnished luxury apartments along with a host of amenities. Tenants can also take advantage of a central location that makes commutes a breeze.,2340.0,3640.0,6327.0,,,"['Edgware Road | 0.1 mi', 'London Marylebone | 0.4 mi', 'Paddington Station | 0.4 mi']",London
Shillington Old School,"Este Road, Wandsworth, London, SW11 2TB","['Parking', 'Bike storage', 'Lifts', 'Bed and mattress', 'Sofa']","Situated in the centre of Clapham Junction, Shillington Old School offers a wide selection of rental apartments, along with various local amenities for tenants to enjoy a vibrant living experience.",1647.0,,2383.0,,,"['Clapham Junction | 0.4 mi', 'Imperial Wharf | 0.8 mi']",London
Vantage Point,"2 Junction Road, Islington, London, N19 5RQ","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']","Lying in a prime location of North London, Vantage Point is the chosen place for commuters with an opulent design, active living environment and well-connected transport links.",2000.0,2650.0,,1700.0,,"['Archway | 0.0 mi', 'Upper Holloway | 0.3 mi', 'Tufnell Park Underground Station | 0.6 mi']",London
Xchange Point,"14-26 Market Road, Islington, London, N7 9PW","['Concierge', 'Onsite maintenance', 'Onsite management', 'Parking', 'Parcel collection & storage']","Nestled directly to the North of Central London, Xchange Point offers a contemporary facility with deluxe living space and a diverse range of high-class amenities.",1755.0,2188.0,,,,"['Caledonian Road Station | 0.1 mi', 'Caledonian Road & Barnsbury | 0.3 mi', 'Holloway Road Station | 0.5 mi']",London
Welford House,"Landsdowne Road, Croydon, London, CR8 2PD","['Pet friendly', 'Onsite maintenance', 'Onsite management', 'Parking', 'Bike storage']","A well-designed rental development with quality flats and premium add-on amenities, Welford House is attracting many home seekers in Croydon.",925.0,950.0,,800.0,,"['Purley | 0.3 mi', 'Reedham | 0.3 mi']",London
"The Quarters, Croydon","20 Wellesley Road, Croydon, London, CR0 9BN","['Concierge', 'Onsite maintenance', 'Onsite management', 'Parking', 'Parcel collection & storage']","Encompassing high-quality rental flats with ample space and must-have amenities, The Quarters Croydon is a fitting choice for tenants these days.",,,,960.0,,"['East Croydon | 0.2 mi', 'West Croydon | 0.3 mi']",London
Zenith House Seven Sisters,"69 Lawrence Road, Haringey, London, N15 4EY","['Onsite maintenance', 'Onsite management', 'Parking', 'Bike storage', 'Lifts']","Situated near multiple transport links, Zenith House delivers convenience and comfort to your daily life. It offers a comprehensive range of amenities and flexible furnishing options.",1300.0,1650.0,,1150.0,,"['Seven Sisters | 0.3 mi', 'South Tottenham | 0.6 mi', 'Tottenham Hale | 0.8 mi']",London
Dovetail Place,"Lawrence Road, Haringey, London, N15 4EG","['Parking', 'Bike storage', 'Lifts', 'Bed and mattress', 'Built-in wardrobe']","Dovetail Place provides tenants with cosy apartments where they can enjoy a comfortable living environment with first-class amenities, unique designs and a prime location.",1200.0,1550.0,1875.0,,,"['Seven Sisters | 0.3 mi', 'South Tottenham | 0.6 mi', 'Tottenham Hale | 0.8 mi']",London
OKR,"Ossory Road, Southwark, London, SE1 5AG","['Parking', 'Bike storage', 'Controlled access', 'Roof terrace', 'Communal garden']","OKR is a new Build To Rent in South East London that houses two, three and four-bedroom duplex apartments. All apartments are highly spacious and come with fully-fitted kitchens and bathrooms.",,1600.0,,,,"['South Bermondsey | 0.8 mi', 'Bermondsey | 0.9 mi', 'Queens Road Peckham | 1.1 mi']",London
Cheviot House,"7 Philpot Street, Tower Hamlets, London, E1 2FG","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']","Located in a well-connected area of East London, Cheviot House is a collection of stylish and modern studio apartments.",,,,1195.0,,"['Shadwell | 0.3 mi', 'Whitechapel | 0.3 mi', 'Whitechapel Station | 0.3 mi']",London
Sovereign Court Shadwell,"Queen Anne Terrace, Sovereign Court, Wapping, Tower Hamlets, London, E1W 3HL","['Furnished', 'Concierge', 'Parking', 'Parcel collection & storage', 'Bike storage']","Ideally located near Shadwell DLR, Sovereign Court offers premium-quality flats to rent in East London, allowing tenants to be a part of a vibrant community and enjoy first-class amenities.",1560.0,1842.0,,,,"['Shadwell | 0.2 mi', 'Wapping | 0.3 mi', 'Tower Gateway | 0.7 mi']",London
Churchwood Gardens,"Honor Oak Road, Lewisham, London, SE23 3AA","['Parking', 'Bike storage', 'Controlled access', 'Common area', 'Roof terrace']","Churchwood Gardens is a BTR rental scheme that promotes sustainable living with 71 units, modern fixtures and fittings. All one, two and three-bedroom apartments come with open floor plans and luxury bathrooms.",1350.0,1775.0,2100.0,,,"['Honor Oak Park | 0.4 mi', 'Forest Hill | 0.4 mi']",London
Vida House,"50-52 Trundleys Road, Lewisham, London, SE8 5EJ","['Pet friendly', 'Onsite maintenance', 'Onsite management', 'Parking', 'Parcel collection & storage']","Vida House provides renters with one and two-bedroom apartments that are highly spacious and come with a fully-fitted kitchen, wood flooring, a balcony and plenty of open space. It is a pet-friendly and you don't need to offer a deposit as well.",1480.0,1795.0,,,,"['South Bermondsey | 0.5 mi', 'Surrey Quays | 0.5 mi', 'Canada Water | 0.9 mi']",London
Essex Brewery,"76-80 South Grove, Waltham Forest, London, E17 7NE","['Concierge', 'Parcel collection & storage', 'Bike storage', 'Lifts', 'Controlled access']","One of the most lively and beautiful areas in the capital city, where convenient amenities meet a great mix of cultures.",1200.0,1625.0,,,,"[""Walthamstow Queen's Road | 0.2 mi"", 'St James Street | 0.3 mi', 'Walthamstow Central | 0.4 mi']",London
Canary Quarter,"20 Millharbour, Tower Hamlets, London, E14 9TN","['Concierge', 'Onsite maintenance', 'Onsite management', 'Parking', 'Bike storage']","Situated in a thriving business hub, Canary Quarter has a prime location in East London accessible by trains, buses and even ferries. Convenient amenities and top-notch interiors make this building a desirable place to live.",1450.0,1950.0,2600.0,1200.0,,"['South Quay | 0.2 mi', 'Crossharbour | 0.3 mi', 'Canary Wharf | 0.3 mi']",London
Fizzy Lewisham,"River Mill Two, Station Rd, Lewisham, London, SE13 5FQ","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parcel collection & storage']",Fizzy Lewisham offers renters with premium living spaces that are pet-friendly and consist of one and two-bedroom flats. You can choose between furnished and unfurnished apartments.,1550.0,1815.0,,,,"['Lewisham | 0.1 mi', 'Elverson Road | 0.4 mi', 'St Johns | 0.6 mi']",London
Bow River Village,"Hancock Road, Three Mill Lane, Tower Hamlets, London, E3 3DA","['Onsite management', 'Bike storage', 'Lifts', 'CCTV', 'Controlled access']","Located near the quiet River Lea, Bow River Village presents many buildings to rent in East London with high-class amenities.",1495.0,1615.0,1995.0,,,"['Bromley-By-Bow Station | 0.2 mi', 'Devons Road | 0.4 mi', 'Bow Church | 0.4 mi']",London
Manhattan Loft Gardens,"Queen Elizabeth Olympic Park, 22 International Way, Newham, London, E20 1GQ","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']",Manhattan Loft Gardens offers convenient apartments along with first-class amenities. Tenants can also take advantage of a unique design and a prime location of East London to create a high-standard living environment.,2000.0,2650.0,5000.0,1650.0,,"['Stratford International | 0.1 mi', 'Stratford International DLR | 0.1 mi', 'Stratford Underground Station | 0.3 mi']",London
180 Stratford High Street,"180 High Street, Newham, London, E15 2LS","['Concierge', 'Onsite maintenance', 'Onsite management', 'Parking', 'Parcel collection & storage']","Lying in an excellent location of East London, One Eighty Stratford High Street provides tenants with convenient apartments, an abundance of amenities and transport links to create an enviable living environment.",1350.0,2050.0,2100.0,,,"['Stratford High Street | 0.2 mi', 'Stratford | 0.4 mi', 'Stratford Underground Station | 0.4 mi']",London
Abbeville Apartments,"37-57 London Street, Barking and Dagenham, London, IG11 8FW","['Concierge', 'Onsite maintenance', 'Onsite management', 'Parking', 'Parcel collection & storage']","Abbeville Apartments is an ideal housing option by Grainger with appealing living spaces, diverse amenities and reliable tenant services.",1250.0,1450.0,,,,"['Barking | 0.2 mi', 'Upney Station | 1.1 mi', 'Upney Underground Station | 1.1 mi']",London
Sidcup House,"12-18 Station Road, Bexley, London, DA15 7EQ","['Pet friendly', 'Parking', 'Bike storage', 'Lifts', 'CCTV']","Lying in an excellent location of Dartford, Sidcup House is the ideal place for renters with a unique design, an abundance of amenities & furniture and well-connected transport links.",,1500.0,,,,"['Sidcup | 0.4 mi', 'Albany Park | 1.2 mi']",London
Scimitar House,"23 Eastern Road, Havering, London, RM1 3NH","['Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']",Scimitar House is a great selection of spacious apartments with a sleek design and modern amenities located in the heart of Romford.,1200.0,1517.0,1600.0,,,"['Romford | 0.2 mi', 'Gidea Park | 1.0 mi']",London
8 Water Street,"8 Water Street, Tower Hamlets, London, E14 5GX","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']","Lying in a prime location of East London, 8 Water Street is the chosen place for commuters with a unique design, fully-furnished apartments, an abundance of amenities and well-connected transport links.",2361.0,3228.0,5200.0,1950.0,,"['Canary Wharf | 0.1 mi', 'South Quay | 0.2 mi', 'Heron Quays | 0.3 mi']",London
Fizzy Canning Town,"Barking Road, Newham, London, E16 1EH","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']","Situated in a well-connected area, Fizzy Canning Town is easily one of the best choices for those who are working in Central London.",1350.0,1650.0,,,,"['Canning Town | 0.2 mi', 'Star Lane | 0.4 mi', 'West Ham | 0.8 mi']",London
Argo Apartments,"Barking Road, Newham, London, E16 1EN","['Concierge', 'Onsite maintenance', 'Onsite management', 'Parking', 'Parcel collection & storage']","Located in a central area of East London, Argo Apartments is a selection of one and two-bedroom apartments with beneficial fixtures and fitting.",1600.0,1815.0,,,,"['Canning Town | 0.3 mi', 'Star Lane | 0.4 mi', 'West Ham | 0.8 mi']",London
Cyan Apartments,"Gunmakers Lane, Tower Hamlets, London, E3 5GF","['Furnished', 'Onsite maintenance', 'Onsite management', 'Bike storage', 'Lifts']","Located in a prime east London area, Cyan Apartments offers a wide selection of furnished accommodations and convenient amenities for tenants to enjoy the best living experience.",1875.0,1850.0,2100.0,1200.0,,"['Bow Road Station | 0.7 mi', 'Hackney Wick Rail Station | 0.7 mi', 'Mile End Station | 0.7 mi']",London
Fizzy Hayes,"Clayton Road, Hillingdon, London, UB3 1HA","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']","Fizzy Hayes offers an array of new builds to rent in Uxbridge, all of which are furnished with modern facilities and amenities. It guarantees to offer every tenant a first-class living experience.",1435.0,1695.0,2090.0,,,"['Hayes & Harlington | 0.3 mi', 'Southall | 2.0 mi', 'Heathrow Terminals 1, 2, 3 | 2.6 mi']",London
Millet Place,"Barrier Point Road, Newham, London, E16 2YH","['Concierge', 'Onsite maintenance', 'Onsite management', 'Parking', 'Parcel collection & storage']","Located in a central area of East London, Millet Place offers a selection of modish apartments with modern fixtures and fittings.",1575.0,1875.0,2855.0,,,"['Pontoon Dock DLR Station | 0.1 mi', 'West Silvertown | 0.4 mi', 'Charlton | 1.0 mi']",London
10 George Street,"10 George Street, Tower Hamlets, London, E14 9QG","['Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parcel collection & storage']","Situated in the new district of Canary Wharf, Wood Wharf, 10 George Street offers various accommodations with fully-equipped and exclusive amenities in East London.",2361.0,3466.0,4766.0,2015.0,,"['South Quay | 0.2 mi', 'Canary Wharf | 0.2 mi', 'Heron Quays | 0.4 mi']",London
Bedford Park,"5 Bedford Park, Croydon, London, CR0 2AQ","['Pet friendly', 'Onsite maintenance', 'Onsite management', 'Parking', 'Parcel collection & storage']","Located in a quiet and peaceful area of Croydon, Bedford Park offers a high living standard with modern designs and an accessible transport network.",1195.0,1415.0,,,,"['West Croydon | 0.2 mi', 'East Croydon | 0.4 mi']",London
No. 26,"26 Dingwall Road, Croydon, London, CR0 9XF","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']","No. 26 is a Build To Rent at 26 Dingwall Road, Croydon with thoughtfully designed interiors and convenient amenities.",1230.0,1455.0,2025.0,985.0,,"['East Croydon | 0.2 mi', 'West Croydon | 0.3 mi']",London
Fizzy Poplar,"Upper North Street, Tower Hamlets, London, E14 6HL","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']","Located in a well-connected area of East London, Fizzy Poplar is a collection of modern and comfortable apartments.",1450.0,1850.0,2250.0,,,"['Langdon Park | 0.3 mi', 'All Saints | 0.4 mi', 'Canary Wharf | 0.7 mi']",London
Tech West Lofts,"4 Warple Way, Ealing, London, W3 0UE","['Onsite maintenance', 'Onsite management', 'Bike storage', 'Lifts', 'CCTV']","Tech West Lofts enjoys an ideal location as a new build to rent in West London, with multiple parks and museums nearby. Residents can also rent furnished spaces and enjoy a high-quality living experience.",1400.0,,,1225.0,,"['Acton Central | 0.3 mi', 'South Acton Rail Station | 0.7 mi', 'Turnham Green Station | 0.7 mi']",London
